header,poolingSize,filterSize,numFilter,denseNode,train0,train1,train2,train3,train4,train5,train6,train7,train8,train9,train10,train11,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11
26,2,7,32 32,256,0.9338,0.9772,0.9832,0.9860,0.9872,0.9898,0.9908,0.9911,0.9926,0.9932,0.9937,0.9939,0.9846,0.9857,0.9890,0.9907,0.9911,0.9898,0.9907,0.9916,0.9932,0.9915,0.9919,0.9920
27,2,7,32 32,512,0.9431,0.9812,0.9863,0.9896,0.9909,0.9925,0.9937,0.9934,0.9939,0.9950,0.9952,0.9955,0.9850,0.9889,0.9884,0.9908,0.9908,0.9930,0.9922,0.9913,0.9910,0.9910,0.9923,0.9920
28,2,7,32 64,128,0.9276,0.9739,0.9812,0.9837,0.9871,0.9886,0.9888,0.9899,0.9904,0.9919,0.9921,0.9930,0.9843,0.9877,0.9889,0.9903,0.9900,0.9912,0.9913,0.9909,0.9918,0.9930,0.9925,0.9927
29,2,7,32 64,256,0.9395,0.9799,0.9846,0.9882,0.9899,0.9918,0.9925,0.9930,0.9943,0.9944,0.9947,0.9949,0.9860,0.9883,0.9903,0.9907,0.9918,0.9911,0.9901,0.9918,0.9914,0.9914,0.9920,0.9923
30,2,7,32 64,512,0.9471,0.9821,0.9870,0.9910,0.9918,0.9932,0.9933,0.9947,0.9950,0.9956,0.9962,0.9967,0.9844,0.9884,0.9900,0.9917,0.9917,0.9900,0.9912,0.9910,0.9915,0.9921,0.9907,0.9913
31,2,7,32 64,128,0.9293,0.9762,0.9813,0.9841,0.9866,0.9874,0.9891,0.9901,0.9910,0.9922,0.9921,0.9932,0.9806,0.9864,0.9885,0.9900,0.9909,0.9918,0.9924,0.9916,0.9925,0.9921,0.9927,0.9931
32,2,7,32 64,256,0.9416,0.9800,0.9850,0.9877,0.9895,0.9917,0.9925,0.9929,0.9941,0.9940,0.9954,0.9954,0.9848,0.9867,0.9890,0.9899,0.9909,0.9914,0.9924,0.9926,0.9927,0.9923,0.9919,0.9935
33,2,7,32 64,512,0.9481,0.9835,0.9870,0.9898,0.9917,0.9931,0.9941,0.9942,0.9952,0.9960,0.9960,0.9965,0.9838,0.9886,0.9906,0.9919,0.9922,0.9920,0.9927,0.9920,0.9924,0.9920,0.9918,0.9928
34,2,7,64 64,128,0.9256,0.9752,0.9805,0.9846,0.9856,0.9879,0.9897,0.9904,0.9915,0.9912,0.9921,0.9924,0.9833,0.9869,0.9884,0.9895,0.9900,0.9919,0.9922,0.9911,0.9910,0.9924,0.9922,0.9917
35,2,7,64 64,256,0.9411,0.9807,0.9856,0.9882,0.9899,0.9918,0.9918,0.9932,0.9936,0.9945,0.9947,0.9950,0.9842,0.9852,0.9905,0.9911,0.9916,0.9925,0.9922,0.9925,0.9911,0.9925,0.9920,0.9919
36,2,7,64 64,512,0.9506,0.9833,0.9879,0.9907,0.9919,0.9930,0.9938,0.9941,0.9955,0.9952,0.9956,0.9966,0.9872,0.9898,0.9884,0.9909,0.9913,0.9935,0.9917,0.9919,0.9936,0.9922,0.9921,0.9912
37,4,3,32 32,128,0.8906,0.9655,0.9739,0.9769,0.9801,0.9815,0.9824,0.9835,0.9844,0.9855,0.9866,0.9874,0.9807,0.9868,0.9879,0.9891,0.9913,0.9910,0.9912,0.9905,0.9922,0.9917,0.9916,0.9921
38,4,3,32 32,256,0.9066,0.9715,0.9792,0.9823,0.9845,0.9860,0.9873,0.9876,0.9890,0.9895,0.9908,0.9903,0.9830,0.9876,0.9904,0.9899,0.9915,0.9924,0.9917,0.9932,0.9929,0.9928,0.9930,0.9928
39,4,3,32 32,512,0.9229,0.9774,0.9824,0.9849,0.9871,0.9884,0.9895,0.9900,0.9911,0.9919,0.9922,0.9926,0.9838,0.9871,0.9894,0.9912,0.9917,0.9914,0.9913,0.9916,0.9933,0.9928,0.9927,0.9926
40,4,3,32 64,128,0.8920,0.9685,0.9744,0.9792,0.9816,0.9831,0.9849,0.9858,0.9874,0.9874,0.9879,0.9886,0.9824,0.9887,0.9902,0.9884,0.9906,0.9901,0.9912,0.9924,0.9931,0.9916,0.9908,0.9930
41,4,3,32 64,256,0.9241,0.9753,0.9813,0.9841,0.9869,0.9874,0.9891,0.9905,0.9909,0.9917,0.9920,0.9921,0.9832,0.9891,0.9893,0.9898,0.9910,0.9919,0.9924,0.9924,0.9929,0.9932,0.9924,0.9934
